VEGAS_LINE,OVER,PREDICTED,W_PCT_A,MIN_A,E_OFF_RATING_A,E_DEF_RATING_A,E_NET_RATING_A,E_PACE_A,E_AST_RATIO_A,E_OREB_PCT_A,E_DREB_PCT_A,E_REB_PCT_A,E_TM_TOV_PCT_A,GP_RANK_A,W_RANK_A,L_RANK_A,W_PCT_RANK_A,MIN_RANK_A,E_OFF_RATING_RANK_A,E_DEF_RATING_RANK_A,E_NET_RATING_RANK_A,E_AST_RATIO_RANK_A,E_OREB_PCT_RANK_A,E_DREB_PCT_RANK_A,E_REB_PCT_RANK_A,E_TM_TOV_PCT_RANK_A,W_PCT_H,MIN_H,E_OFF_RATING_H,E_DEF_RATING_H,E_NET_RATING_H,E_PACE_H,E_AST_RATIO_H,E_OREB_PCT_H,E_DREB_PCT_H,E_REB_PCT_H,E_TM_TOV_PCT_H,GP_RANK_H,W_RANK_H,L_RANK_H,W_PCT_RANK_H,MIN_RANK_H,E_OFF_RATING_RANK_H,E_DEF_RATING_RANK_H,E_NET_RATING_RANK_H,E_AST_RATIO_RANK_H,E_OREB_PCT_RANK_H,E_DREB_PCT_RANK_H,E_REB_PCT_RANK_H,E_TM_TOV_PCT_RANK_H
218.0,0,223.057420339514,0.561,3966.0,114.7,112.4,2.3,101.8,20.1,0.275,0.761,0.521,0.139,1.0,16.0,16.0,16.0,7.0,10.0,15.0,14.0,5.0,4.0,13.0,2.0,22.0,0.573,3956.0,110.6,108.6,2.0,99.4,18.1,0.253,0.781,0.515,0.147,1.0,12.0,12.0,12.0,17.0,22.0,2.0,16.0,25.0,7.0,3.0,6.0,26.0
221.0,1,231.7967221929366,0.39,3961.0,110.4,113.1,-2.7,99.4,18.6,0.252,0.76,0.499,0.131,1.0,22.0,22.0,22.0,10.0,23.0,20.0,22.0,19.0,8.0,16.0,18.0,14.0,0.183,3946.0,108.3,116.8,-8.5,104.9,19.5,0.2,0.725,0.456,0.133,1.0,29.0,29.0,29.0,23.0,25.0,28.0,27.0,9.0,29.0,30.0,30.0,16.0
220.0,1,230.65022397053554,0.256,3976.0,105.0,114.5,-9.5,100.0,16.7,0.275,0.74,0.494,0.15,1.0,27.0,27.0,27.0,2.0,29.0,23.0,29.0,30.0,3.0,27.0,22.0,29.0,0.439,3971.0,114.0,116.7,-2.6,102.6,18.4,0.271,0.752,0.502,0.13,1.0,21.0,21.0,21.0,3.0,12.0,27.0,21.0,21.0,5.0,20.0,15.0,13.0
214.5,1,226.86999592028099,0.622,3941.0,116.1,112.3,3.9,99.7,18.7,0.244,0.748,0.505,0.132,1.0,5.0,5.0,5.0,26.0,4.0,14.0,6.0,18.0,16.0,23.0,11.0,15.0,0.573,3956.0,113.8,111.0,2.8,100.1,18.0,0.248,0.743,0.491,0.119,1.0,12.0,12.0,12.0,17.0,14.0,10.0,11.0,26.0,13.0,25.0,23.0,2.0
211.5,1,224.40000410742368,0.61,3946.0,114.1,111.2,2.9,97.8,17.8,0.294,0.761,0.527,0.134,1.0,6.0,6.0,6.0,23.0,11.0,11.0,9.0,28.0,1.0,14.0,1.0,17.0,0.305,3961.0,109.8,115.8,-6.0,101.8,19.9,0.242,0.739,0.486,0.137,1.0,25.0,25.0,25.0,10.0,24.0,25.0,24.0,7.0,17.0,28.0,26.0,20.0
234.5,0,240.4563817649365,0.573,3941.0,117.9,115.5,2.5,104.2,21.0,0.238,0.741,0.489,0.124,1.0,12.0,12.0,12.0,26.0,2.0,24.0,13.0,1.0,20.0,26.0,24.0,6.0,0.476,3996.0,112.4,113.2,-0.8,98.6,18.2,0.251,0.764,0.502,0.123,1.0,20.0,20.0,20.0,1.0,18.0,21.0,20.0,24.0,9.0,10.0,14.0,4.0
225.5,1,225.75264920853874,0.573,3971.0,113.6,112.7,0.9,103.1,20.1,0.199,0.762,0.495,0.135,1.0,12.0,12.0,12.0,3.0,15.0,17.0,17.0,6.0,30.0,12.0,20.0,18.0,0.329,3956.0,104.2,111.7,-7.5,100.7,17.9,0.238,0.748,0.483,0.148,1.0,24.0,24.0,24.0,17.0,30.0,13.0,26.0,27.0,19.0,22.0,28.0,27.0
215.5,0,221.06998416464148,0.171,3951.0,107.2,116.0,-8.8,102.2,18.2,0.239,0.773,0.501,0.148,1.0,30.0,30.0,30.0,21.0,27.0,26.0,28.0,23.0,18.0,4.0,16.0,28.0,0.683,3961.0,113.1,106.2,6.9,99.5,19.3,0.232,0.769,0.513,0.142,1.0,4.0,4.0,4.0,10.0,16.0,1.0,3.0,14.0,22.0,8.0,7.0,23.0
226.0,1,229.40271754655168,0.5,3971.0,111.5,110.7,0.9,101.5,17.7,0.251,0.76,0.503,0.124,1.0,19.0,19.0,19.0,3.0,21.0,9.0,17.0,29.0,10.0,15.0,13.0,7.0,0.695,3961.0,117.0,109.1,7.9,102.3,19.4,0.211,0.738,0.485,0.123,1.0,2.0,2.0,2.0,10.0,3.0,4.0,2.0,12.0,28.0,29.0,27.0,5.0
220.5,1,229.43025131630543,0.598,3956.0,114.9,111.5,3.4,100.8,19.4,0.25,0.756,0.516,0.147,1.0,8.0,8.0,8.0,17.0,9.0,12.0,7.0,11.0,11.0,17.0,5.0,25.0,0.622,3941.0,116.1,112.3,3.9,99.7,18.7,0.244,0.748,0.505,0.132,1.0,5.0,5.0,5.0,26.0,4.0,14.0,6.0,18.0,16.0,23.0,11.0,15.0
