NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Braxton Key,Phi,F,25.15,2,3.2,6.7,28.1,50,0,0,1,1,1,0,0.5,0.5,1,1,17.5,0.5,23.7,0.5,0,1,9.9,,
Braxton Key,Det,F,25.15,9,21.2,44.2,19,10.6,13,0.538,50,0.52,20,0.3,0.5,0.508,8.6,5.4,13.9,1.1,8.4,1.11,1.33,1,7,101.5,100.6
George King,Dal,F-G,28.24,4,4.8,10,16.1,14.5,2,0.5,1,0,4,0,0,0.085,0.3,1.3,14.5,0,0,0,0,0.25,0,16.7,87.7
Louis King,Sac,F,23.01,10,10.4,21.6,21.3,0,10,0.7,20,0.35,27,0.296,0.404,0.438,4.5,1.2,6.3,0.9,12.5,0.2,0.1,0,6.5,99.7,105.5
Corey Kispert,Was,F,23.11,77,23.4,48.7,14.6,8.5,62,0.871,194,0.629,320,0.35,0.564,0.586,8.2,2.7,6.4,1.1,6.7,0.44,0.29,0.65,5,114.6,114.4
Maxi Kleber,Dal,F,30.2,59,24.6,51.2,13.3,10.9,65,0.708,99,0.586,255,0.325,0.516,0.537,7,5.9,13.4,1.2,6.5,0.51,0.98,0.8,6,110.1,101
Brandon Knight,Dal,G,30.36,5,12.9,26.9,22.7,12.3,8,1,8,0.75,17,0.235,0.48,0.561,6.4,1.6,6.9,1.6,18.8,0.2,0,0.8,7.9,110.4,105.3
Nathan Knight,Min,F-C,24.56,37,7.2,15.1,20.7,13.6,60,0.733,75,0.547,13,0.308,0.534,0.603,3.7,2.3,17,0.6,11.9,0.19,0.22,0.49,9.6,122.6,98
Kevin Knox II,Nyk,F,22.67,13,8.5,17.8,19.5,10.1,10,0.7,12,0.417,28,0.357,0.5,0.529,3.6,1.7,10.6,0.2,4.2,0.15,0.08,0.38,5,107.2,110.2
Kevin Knox II,Atl,F,22.67,17,6.6,13.7,20.5,3.8,12,0.75,19,0.579,26,0.192,0.411,0.457,2.7,1.3,10.8,0.4,8.7,0.12,0.06,0.12,6.8,104.9,104.9
John Konchar,Mem,G,26.05,72,17.9,37.4,9.9,9.3,49,0.551,136,0.61,126,0.413,0.615,0.615,4.8,4.6,13.3,1.5,10.6,0.64,0.31,0.4,7.2,133,105
Furkan Korkmaz,Phi,G-F,24.72,67,21.1,44,17.6,8.6,84,0.81,204,0.515,266,0.289,0.469,0.502,7.6,2.6,6.9,1.9,13.1,0.49,0.13,0.72,6.3,103.8,111.6
Luke Kornet,Cle,F-C,26.74,2,7.5,15.5,18.8,0,3,0.667,4,0.25,1,0,0.2,0.316,2,1.5,11.1,0.5,8.9,0,0.5,0,6.1,97,109.4
Luke Kornet,Mil,F-C,26.74,1,3,6.3,14.2,0,0,0,1,0,0,0,0,0,0,1,17.7,0,0,0,0,0,0,,
Luke Kornet,Bos,F-C,26.74,12,7.1,14.8,11.5,0,3,0.667,17,0.706,4,0,0.571,0.582,2.2,2.1,15.8,0.7,13.4,0.33,0.17,0,8.3,147.2,99.8
Vit Krejci,Okc,G,21.81,30,23,47.9,12.9,14.1,22,0.864,69,0.522,98,0.327,0.503,0.529,6.2,3.4,7.5,1.9,11.9,0.63,0.27,0.97,6,105.2,107
Arnoldas Kulboka,Cha,F,24.27,2,2.7,5.5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Jonathan Kuminga,Gol,F,19.51,70,16.9,35.3,22.8,12,190,0.684,311,0.598,149,0.336,0.567,0.6,9.3,3.3,10.7,0.9,8.4,0.44,0.31,1.06,7.2,112,97.9
Kyle Kuzma,Was,F,26.72,66,33.4,69.6,24.2,14,219,0.712,561,0.526,375,0.341,0.52,0.547,17.1,8.5,14.1,3.5,16.3,0.64,0.86,2.55,9.6,103.3,109.7
Anthony Lamb,San,F,24.22,2,3.9,8,11,0,0,0,0,0,2,0,0,0,0,0.5,6.8,1,29,0,0,0,0,,
Jeremy Lamb,Ind,G-F,29.86,39,15.7,32.8,20,8.4,80,0.838,111,0.414,117,0.333,0.458,0.524,7.1,2.4,8.6,1.3,11.6,0.59,0.36,0.62,7.2,110.5,112.2
Jeremy Lamb,Sac,G-F,29.86,17,19,39.5,19.1,9.1,26,0.846,66,0.485,53,0.302,0.471,0.514,7.9,3.5,10.1,1.8,13.5,0.47,0.47,0.76,7.7,107.1,113.6
Jock Landale,San,C,26.46,54,10.9,22.7,18.2,12.3,41,0.829,115,0.626,89,0.326,0.566,0.597,4.9,2.6,12.3,0.8,10.6,0.19,0.26,0.57,8,120.1,107.8
Romeo Langford,Bos,G-F,22.46,44,16.6,34.5,13,7.4,34,0.588,101,0.495,83,0.349,0.508,0.52,4.7,2.4,7.7,0.4,3.6,0.48,0.36,0.36,4,108.2,105.3
Romeo Langford,San,G-F,22.46,4,10.7,22.2,10.4,0,8,0.375,5,0.8,2,0,0.571,0.523,2.8,1,4.9,0.5,5.9,0.25,0,0,4.2,112.5,115.8
Zach LaVine,Chi,G-F,27.09,67,34.7,72.4,28.8,11.2,375,0.853,711,0.534,475,0.389,0.554,0.605,24.4,4.6,7.5,4.5,20.8,0.61,0.34,2.55,9.2,115.1,112.8
Jake Layman,Min,F,28.1,34,6.8,14.1,16.5,11,18,0.722,38,0.579,35,0.229,0.466,0.5,2.4,1.1,8.3,0.3,5.3,0.21,0.15,0.29,5.4,98.5,111.5
Damion Lee,Gol,G-F,29.47,63,19.9,41.6,15.8,8.4,75,0.88,196,0.541,187,0.337,0.523,0.561,7.4,3.2,8.8,1,7.1,0.6,0.1,0.6,5.8,111.5,103.4
Saben Lee,Det,G,22.8,37,16.3,34,17.3,14.7,71,0.789,117,0.47,60,0.233,0.429,0.499,5.6,2.3,7.7,2.9,26.2,0.95,0.3,0.97,8.2,107.4,109.3
Alex Len,Sac,C,28.82,39,15.9,33.1,17.1,17.4,63,0.651,155,0.568,21,0.286,0.551,0.577,6,4.1,14.1,1.2,10.6,0.33,0.64,1.1,7.8,110.2,100.9
Caris LeVert,Ind,G,27.63,39,31.1,64.8,26.8,9.9,146,0.76,433,0.501,189,0.323,0.496,0.53,18.7,3.8,6.9,4.4,22.8,0.9,0.46,1.92,8.7,108.9,113.2
Caris LeVert,Cle,G,27.63,19,29.8,62.2,22.3,11.6,47,0.745,165,0.485,67,0.313,0.481,0.511,13.6,3.4,6.2,3.9,20.5,0.84,0.26,1.74,7.6,104.6,106.8
Kira Lewis Jr.,Nor,G,21.01,24,14.2,29.6,22.3,14.7,12,0.833,88,0.523,58,0.224,0.449,0.466,5.9,1.6,6.3,2,21.7,0.46,0.04,1.08,7.5,95.6,112.3
Scottie Lewis,Cha,G,22.08,2,3.3,6.9,5.7,0,2,0.5,0,0,0,0,,0.568,0.5,0,0,0.5,17.2,0.5,0,0,0,,
Damian Lillard,Por,G,31.74,29,36.4,75.9,29.3,11.6,181,0.878,268,0.485,284,0.324,0.486,0.55,24,4.1,6.2,7.3,34,0.59,0.38,2.86,9.8,112.6,119.5
Nassir Little,Por,F-G,22.16,42,25.9,54,15.8,10.1,94,0.734,161,0.584,154,0.331,0.541,0.575,9.8,5.6,11.9,1.3,7.4,0.6,0.86,0.95,6.4,115.5,112.6
Isaiah Livers,Det,F,23.7,19,20.2,42,12.4,13.5,14,0.857,26,0.538,64,0.422,0.606,0.629,6.4,3,8,1.2,8.4,0.68,0.37,0.79,5.6,118.4,108.2
Kevon Looney,Gol,F,26.18,82,21.1,44,12.3,13.8,125,0.6,363,0.573,1,0,0.571,0.586,6,7.3,18.7,2,13.2,0.61,0.63,0.82,8.4,129.9,95.5
Brook Lopez,Mil,C,34.03,13,23,47.8,21.9,7.8,23,0.87,78,0.538,53,0.358,0.538,0.57,12.4,4.1,9.4,0.5,3,0.62,1.15,0.92,5.1,112.9,103.6
Robin Lopez,Orl,C,34.03,36,17,35.4,18.9,16.5,54,0.593,193,0.56,6,0.333,0.558,0.57,7.1,3.5,10.9,1.5,14.4,0.06,0.5,1.22,7.9,111,107.4
Didi Louzada,Nor,G,20,2,3.5,7.2,18.7,0,0,0,0,0,3,0,0,0,0,1,16.1,0.5,17.4,0,0,0,0,,
Didi Louzada,Por,G,20,7,17.5,36.4,12.7,13.9,2,1,10,0.3,20,0.45,0.55,0.567,5,2.1,6.7,0.6,4.6,0.29,0.29,0.71,4.2,104.2,111.4
Kevin Love,Cle,F-C,33.59,74,22.5,46.9,25.1,10.4,198,0.838,284,0.493,477,0.392,0.553,0.594,13.6,7.2,17.8,2.2,15.3,0.35,0.24,1.32,10.7,117,103.2
Kyle Lowry,Mia,G,36.05,63,33.9,70.5,18.2,19.3,174,0.851,245,0.539,382,0.377,0.555,0.6,13.4,4.5,7.5,7.5,32.3,1.06,0.27,2.67,9.1,118.2,103.9
Gabriel Lundberg,Pho,G,27.35,4,11.1,23,21.4,13.6,0,0,11,0.182,8,0.375,0.342,0.342,3.3,1.8,8.5,2.8,31.3,0.75,0,0.75,9.2,89.6,93.2
Timothe Luwawu-Cabarrot,Atl,G-F,26.92,52,13.2,27.4,14.3,8.9,41,0.854,64,0.469,122,0.361,0.516,0.556,4.4,1.6,6.6,0.8,7.7,0.35,0.12,0.38,5.4,113.7,107.3
Trey Lyles,Det,F,26.43,51,19.4,40.4,22.3,10.5,176,0.784,238,0.55,146,0.301,0.513,0.576,10.4,4.8,13.3,1.1,9.5,0.43,0.51,1.06,7.8,113.8,107.1
Trey Lyles,Sac,F,26.43,24,22.8,47.5,17.8,8.4,67,0.851,115,0.557,63,0.365,0.553,0.612,10.6,5.6,13.4,1.3,8.1,0.29,0.25,0.79,7.5,123.3,111.9
Theo Maledon,Okc,G,20.83,51,17.8,37.1,20.3,15.3,100,0.79,167,0.449,150,0.293,0.445,0.5,7.1,2.6,7.4,2.2,18.5,0.61,0.22,1.27,7.7,99,108.9
Sandro Mamukelashvili,Mil,F-C,22.89,41,9.9,20.7,14.6,10.7,22,0.818,63,0.556,52,0.423,0.591,0.618,3.8,2,10.7,0.5,7.4,0.22,0.22,0.37,6.3,126.6,108.9
Terance Mann,Lac,G-F,25.48,81,28.6,59.6,16.1,9.9,164,0.78,482,0.535,208,0.365,0.539,0.572,10.8,5.2,9.6,2.6,13.1,0.68,0.26,1.04,7.4,117.7,106.1
Tre Mann,Okc,G,21.18,60,22.8,47.5,22,10.2,82,0.793,316,0.421,272,0.36,0.476,0.501,10.4,2.9,6.4,1.5,10.7,0.78,0.2,1.18,6.3,97.5,109.2
Boban Marjanovic,Dal,C,33.65,22,5.8,12.1,33.3,15.8,22,0.591,66,0.621,4,0.25,0.607,0.615,4.5,1.8,17,0.1,4.8,0,0.14,0.68,6.4,101,90.4
Lauri Markkanen,Cle,F-C,24.89,61,30.8,64.1,19.5,6.5,159,0.868,323,0.548,380,0.358,0.542,0.582,14.8,5.7,10.2,1.3,6.6,0.74,0.49,0.89,6.2,116.9,105.3
Naji Marshall,Nor,F,24.21,55,13.4,27.9,20.8,12.9,93,0.796,164,0.537,105,0.2,0.444,0.505,5.7,2.6,10.7,1.1,12.3,0.58,0.15,0.84,7.6,103.4,105.2
Kenyon Martin Jr.,Hou,F,21.26,79,21,43.7,16.3,9.4,123,0.634,355,0.617,168,0.357,0.591,0.603,8.8,3.8,9.8,1.3,9.4,0.43,0.51,0.76,6.7,118.9,114
Caleb Martin,Mia,F,26.54,60,22.9,47.6,16.3,10.3,93,0.763,255,0.565,155,0.413,0.585,0.611,9.2,3.8,9.5,1.1,7,0.97,0.5,0.87,5.9,119.2,104
Cody Martin,Cha,F,26.54,71,26.3,54.7,12.1,11.5,107,0.701,264,0.542,159,0.384,0.554,0.579,7.7,4,8.1,2.5,12.4,1.24,0.45,0.86,6.5,120.8,111.3
Kelan Martin,Ind,F,26.69,27,16.4,34.3,18.1,7.5,13,0.692,94,0.511,74,0.297,0.482,0.492,6.3,2,6.7,0.8,6.8,0.48,0.33,0.52,5.3,101.8,112.9
