"NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"Cole Anthony","Orl","G","23.9","81","22.4","23.7","14.2","218","0.826","487","0.491","275","0.338","0.497","0.546","11.6","3.8","2.9","0.8","0.5","1.6","15.4","14.5","18.3","9","109.9","104.2"
"Jeremy Sochan","San","G","20.9","74","29.6","18.8","15.3","144","0.771","549","0.492","227","0.308","0.483","0.513","11.6","6.4","3.4","0.8","0.5","1.9","18.1","15","21.4","8.5","103.6","111.9"
"Clint Capela","Atl","C","29.9","73","25.8","17.3","10.7","206","0.631","617","0.572","1","0","0.571","0.59","11.5","10.6","1.2","0.6","1.5","1","22.1","12.7","23.3","8.2","126.1","111.1"
"Lamar Stevens","Mem","F","26.8","19","23","22.5","7.1","43","0.791","157","0.484","38","0.289","0.474","0.512","11.5","5.1","1.1","0.9","0.9","0.8","16.6","12.6","17.6","7","105.3","109.7"
"Mike Conley","Min","G","36.5","76","28.9","16","13.7","110","0.909","239","0.481","405","0.442","0.595","0.626","11.4","2.9","5.9","1.2","0.2","1.3","14.3","17.3","20.2","8","129.3","107.9"
"Malik Beasley","Mil","G","27.4","79","29.6","14.6","7","35","0.714","180","0.533","542","0.413","0.598","0.603","11.3","3.7","1.4","0.7","0.1","0.7","14.9","12.6","16.3","5.2","116.9","112.8"
"Brandon Clarke","Mem","F","27.6","6","22.4","20.8","4.8","7","0.143","53","0.604","6","0.167","0.568","0.548","11.3","5.3","1.5","0.8","1","0.5","16.7","12.8","18.2","8","114","111.8"
"Zach Collins","San","C","26.4","69","22.1","22.6","17.6","162","0.753","435","0.552","181","0.32","0.531","0.565","11.2","5.4","2.8","0.5","0.8","1.9","16.6","14.1","19.4","10","107.7","105.7"
"Daniel Gafford","Dal","F-C","25.5","29","21.5","16.4","13.1","56","0.607","186","0.78","0","0","0.78","0.769","11.2","6.9","1.6","0.7","1.9","1","18.1","12.8","19.7","9.3","144.1","102.2"
"Russell Westbrook","Lac","G","35.4","68","22.5","25.2","17.8","160","0.688","509","0.509","154","0.273","0.486","0.514","11.1","5","4.5","1.1","0.3","2.1","16.1","15.6","20.6","11.2","106.8","108.6"
"Jakob Poeltl","Tor","C","28.5","50","26.4","16.2","16.9","107","0.551","378","0.656","0","0","0.656","0.653","11.1","8.6","2.5","0.7","1.5","1.5","19.7","13.6","22.2","9.4","123.8","107.9"
"De'Anthony Melton","Phi","G","25.9","38","26.9","18.3","9.8","79","0.835","146","0.425","214","0.36","0.493","0.533","11.1","3.7","3","1.6","0.4","1","14.8","14.1","17.8","7.4","113.2","108.5"
"Eric Gordon","Pho","G","35.3","68","27.8","16.5","10.6","64","0.797","221","0.561","397","0.378","0.565","0.58","11","1.8","2","1","0.4","1.1","12.8","13.1","14.9","4.9","112.3","116"
"Luke Kennard","Mem","G","27.8","39","25.6","16.7","14.6","45","0.889","77","0.442","238","0.45","0.617","0.641","11","2.9","3.5","0.5","0.1","1.4","13.9","14.5","17.4","7.5","121.3","116.5"
"Wendell Carter Jr.","Orl","C","25","55","25.6","17.2","13.8","134","0.694","254","0.626","171","0.374","0.6","0.623","11","6.9","1.7","0.6","0.5","1.2","17.9","12.7","19.6","7.9","121.8","104.5"
"Herbert Jones","Nor","G","25.5","76","30.5","14.1","13.6","158","0.867","315","0.568","273","0.418","0.595","0.636","11","3.6","2.6","1.4","0.8","1.2","14.6","13.6","17.2","6.1","124","106.7"
"Jusuf Nurkic","Pho","C","29.6","76","27.3","19.1","21.8","261","0.64","537","0.555","90","0.244","0.528","0.559","10.9","11","4","1.1","1","2.3","21.9","14.9","25.9","11.5","113.4","99.8"
"Moritz Wagner","Orl","F-C","27","80","17.7","22.8","15","204","0.814","436","0.674","115","0.33","0.637","0.677","10.9","4.4","1.2","0.5","0.3","1.2","15.2","12.1","16.4","8.7","125.7","102.2"
"Luguentz Dort","Okc","F","25","79","28.4","15.4","10.1","155","0.826","261","0.506","396","0.394","0.557","0.593","10.9","3.6","1.4","0.9","0.6","0.9","14.5","12.3","15.9","5.4","116.8","107.4"
"Daniel Gafford","Was","C","25.5","45","26.5","13.9","13.5","119","0.706","294","0.69","0","0","0.69","0.707","10.9","8","1.5","1","2.2","1","18.9","12.4","20.4","7.7","137.2","108.7"
"Isaiah Stewart","Det","F","22.9","46","30.9","14.5","14.7","85","0.753","207","0.575","175","0.383","0.575","0.6","10.9","6.6","1.6","0.4","0.8","1.4","17.6","12.5","19.2","6.3","113.3","115.3"
"Jake LaRavia","Mem","F","22.4","35","23","21.1","12.9","109","0.826","147","0.442","156","0.34","0.477","0.54","10.8","3.7","1.7","0.8","0.3","1.3","14.5","12.5","16.1","7.1","109","110.4"
"Vasilije Micic","Cha","G","30.3","30","27.2","20.3","20","56","0.839","170","0.529","109","0.294","0.495","0.532","10.8","2.1","6.2","0.7","0.1","2.3","12.9","17","19.1","7.6","107.1","119.8"
"Santi Aldama","Mem","F-C","23.3","61","26.5","17.9","10.8","87","0.621","264","0.534","304","0.349","0.528","0.539","10.7","5.8","2.3","0.7","0.9","1.1","16.5","13","18.8","7.9","108.6","112"
"Jaden McDaniels","Min","F","23.5","72","29.2","15.7","12.2","79","0.722","373","0.592","255","0.337","0.557","0.571","10.5","3.1","1.4","0.9","0.6","1.2","13.6","11.9","15","4.9","107.8","103.5"
"Chimezie Metu","Det","F-C","27.1","14","29.4","15.4","17.9","21","0.952","71","0.62","43","0.302","0.557","0.596","10.5","6","1.9","1.7","0.5","1.8","16.5","12.4","18.4","6.7","108.9","111.5"
"Bojan Bogdanovic","Nyk","F","35","29","19.2","24.3","12.9","45","0.8","129","0.488","127","0.37","0.521","0.549","10.4","2","0.9","0.2","0","1.3","12.4","11.3","13.3","5.5","103.9","111.6"
"Obi Toppin","Ind","F","26.1","82","21.1","16.8","10.6","102","0.775","326","0.706","253","0.403","0.661","0.677","10.3","3.9","1.6","0.6","0.5","0.8","14.2","11.9","15.8","7.6","128.8","114.4"
"Reggie Jackson","Den","G","34","82","22.2","21.7","12.3","98","0.806","472","0.475","284","0.359","0.499","0.521","10.2","1.9","3.8","0.5","0.1","1.3","12","13.9","15.8","7.6","108.7","111"
"T.J. McConnell","Ind","G","32.1","71","18.2","23.6","15.4","62","0.79","549","0.568","44","0.409","0.572","0.586","10.2","2.7","5.5","1","0.1","1.5","12.9","15.7","18.4","11.7","120.6","115.5"
"Marvin Bagley III","Det","F","25.1","26","18.4","21.1","13.8","61","0.82","175","0.606","6","0.167","0.594","0.638","10.2","4.5","1","0.2","0.5","1.1","14.7","11.2","15.8","7.8","121","114.2"
"Kevin Huerter","Sac","G","25.6","64","24.4","17.3","8.6","47","0.766","219","0.571","341","0.361","0.553","0.564","10.2","3.5","2.6","0.7","0.4","0.8","13.7","12.8","16.3","7.4","115.9","110.2"
"Onyeka Okongwu","Atl","F-C","23.3","55","25.5","13.7","11","116","0.793","296","0.676","69","0.333","0.642","0.674","10.2","6.8","1.3","0.5","1.1","0.8","17","11.5","18.4","7","135.9","110.2"
"Kentavious Caldwell-Pope","Den","G","31.2","76","31.6","12.9","11.3","113","0.894","279","0.52","308","0.406","0.566","0.602","10.1","2.4","2.4","1.3","0.6","1","12.5","12.5","14.9","4.9","118.7","112.2"
"Alex Caruso","Chi","G","30.1","71","28.7","14.7","15.9","96","0.76","208","0.563","333","0.408","0.593","0.613","10.1","3.8","3.5","1.7","1","1.4","13.9","13.5","17.4","7.1","119.2","109.4"
"Talen Horton-Tucker","Uta","G","23.4","51","19.8","24","12.3","109","0.807","283","0.438","182","0.33","0.46","0.503","10.1","2.4","3.5","0.9","0.4","1.3","12.5","13.6","16","8.9","108.3","113.9"
"Caleb Martin","Mia","F","28.5","64","27.4","17.3","12.1","99","0.778","327","0.489","232","0.349","0.504","0.531","10","4.4","2.2","0.7","0.5","1.2","14.4","12.2","16.6","6.7","107.3","108.1"
"Patrick Williams","Chi","F","22.6","43","27.3","16.6","13.7","66","0.788","211","0.474","148","0.399","0.525","0.553","10","3.9","1.5","0.9","0.8","1.3","13.8","11.5","15.4","5.7","107.2","112.8"
"Tre Jones","San","G","24.3","77","27.7","15.2","16.1","118","0.856","410","0.583","191","0.335","0.557","0.59","10","3.8","6.2","1","0.1","1.5","13.8","16.2","20","8.9","122.9","116.3"
"Vince Williams Jr.","Mem","G","23.6","52","27.6","15.8","19.5","130","0.8","170","0.529","209","0.378","0.55","0.597","10","5.6","3.4","0.9","0.7","1.8","15.6","13.4","19","8.3","114.3","107.6"
"Jordan Goodwin","Mem","G","25.5","17","29.3","19.8","12.5","30","0.633","128","0.367","61","0.311","0.399","0.42","10","8","4.5","1.5","0.5","1.6","18","14.5","22.5","9.7","100","109.2"
"Josh Richardson","Mia","G","30.6","43","25.6","16.5","9.4","54","0.944","157","0.561","190","0.347","0.539","0.573","9.9","2.8","2.4","0.6","0.3","0.8","12.7","12.3","15.1","6.3","115.8","109.4"
"Jalen Smith","Ind","F-C","24.1","61","17.2","19.4","10","104","0.692","251","0.689","144","0.424","0.67","0.682","9.9","5.5","1","0.3","0.6","0.7","15.4","10.9","16.4","8.8","132.7","108.8"
"Tari Eason","Hou","F","22.9","22","21.8","19.8","9.6","33","0.636","139","0.504","50","0.36","0.513","0.528","9.8","7","1.2","1.4","0.9","0.9","16.7","11","18","8","110.5","101.2"
"Lonnie Walker IV","Bro","G-F","25.3","58","17.4","24.4","9.4","59","0.763","221","0.471","271","0.384","0.528","0.545","9.7","2.2","1.3","0.6","0.3","0.9","11.9","11","13.2","7","105.8","112.7"
"Nick Richards","Cha","C","26.4","67","26.2","13.3","16.2","179","0.737","375","0.693","1","0","0.691","0.717","9.7","8","0.8","0.4","1.1","1.1","17.8","10.5","18.6","6","133.8","111.1"
"Payton Pritchard","Bos","G","26.2","82","22.3","17.2","8.8","56","0.821","253","0.593","382","0.385","0.583","0.597","9.6","3.2","3.4","0.5","0.1","0.7","12.8","13","16.3","8.4","128.8","110.5"
"Bruce Brown","Tor","G-F","27.7","34","26","16.4","14.4","60","0.833","205","0.532","63","0.317","0.519","0.557","9.6","3.8","2.7","0.7","0.3","1.3","13.5","12.4","16.2","7.1","110.1","114.9"
"Amen Thompson","Hou","G-F","21.2","62","22.4","18.5","16.8","155","0.684","388","0.595","58","0.138","0.545","0.576","9.5","6.6","2.6","1.3","0.6","1.5","16.1","12.2","18.8","9.8","117.3","103.3"
"Georges Niang","Cle","F","30.8","82","22.3","17.6","10.2","60","0.85","236","0.572","396","0.376","0.567","0.583","9.4","3.4","1.2","0.4","0.2","0.9","12.8","10.6","14","6","109.2","105.8"
"Josh Hart","Nyk","G","29.1","81","33.4","13.5","14.8","115","0.791","421","0.511","258","0.31","0.493","0.522","9.4","8.3","4.1","0.9","0.3","1.5","17.7","13.5","21.8","8.2","114.5","107.9"
"Isaac Okoro","Cle","F","23.2","69","27.3","13.9","10.1","137","0.679","265","0.57","215","0.391","0.577","0.599","9.4","3","1.9","0.8","0.5","0.8","12.4","11.3","14.3","5.5","120.7","110.3"
"Cameron Payne","Phi","G","29.7","31","19.4","21.8","11.9","23","0.913","123","0.447","136","0.382","0.514","0.533","9.3","1.8","3.1","0.6","0.3","1.1","11","12.4","14.1","7.7","110.6","110.7"
"Chris Paul","Gol","G","38.9","58","26.4","15.6","14","52","0.827","257","0.498","210","0.371","0.525","0.544","9.2","3.9","6.8","1.2","0.1","1.3","13.1","16","19.8","9.5","123.7","110.5"
"Andrew Nembhard","Ind","G-F","24.2","68","25","16","16.2","56","0.804","351","0.567","171","0.357","0.557","0.573","9.2","2.1","4.1","0.9","0.1","1.5","11.3","13.3","15.4","6.9","113.9","115.8"
"Malaki Branham","San","F","20.9","75","21.3","19.8","12.8","63","0.873","360","0.494","268","0.347","0.506","0.526","9.2","2","2.1","0.4","0.1","1.2","11.2","11.3","13.3","6.3","100.8","116.7"
"Brandin Podziemski","Gol","G","21.1","74","26.6","15.4","12.8","79","0.633","363","0.499","234","0.385","0.529","0.54","9.2","5.8","3.7","0.8","0.2","1.2","15","12.9","18.7","8.8","117.1","111.8"
"Duop Reath","Por","C","27.8","68","17.9","20.7","9.4","93","0.742","254","0.559","245","0.359","0.549","0.571","9.1","3.7","1","0.5","0.6","0.8","12.8","10.1","13.7","7.2","115.6","107.2"
"Sam Hauser","Bos","F","26.4","79","22","15","5.4","19","0.895","93","0.559","465","0.424","0.623","0.629","9","3.5","1","0.5","0.3","0.4","12.5","10.1","13.5","5.7","126.2","109.7"
"Seth Curry","Cha","G","33.6","8","19.8","19.3","7.8","12","0.917","31","0.548","28","0.321","0.517","0.56","9","2","1.8","0.6","0.4","0.6","11","10.8","12.8","6.4","114.3","120.3"
"Taurean Prince","Lal","F","30.1","78","27","13.8","11.3","68","0.735","217","0.516","355","0.397","0.566","0.579","8.9","2.9","1.5","0.7","0.5","0.9","11.9","10.5","13.4","5","107.8","112.2"
"Jabari Walker","Por","F","21.7","72","23.6","16.3","11.5","171","0.754","370","0.522","139","0.295","0.5","0.546","8.9","7.1","1","0.6","0.3","0.9","15.9","9.8","16.9","6.8","113.6","108.5"
